file_id,object_name,result_id,model_id,flower_box_id,flower_class,flower_score,flower_name,width,height,x0,y0,x1,y1
2,0344-6782/2021-06-21/08/0344-6782_2021-06-21T08-15-51Z.jpg,490,CONFIG002,0,0,0.9158868789672852,daisy,82,93,1130,924,1212,1017
2,0344-6782/2021-06-21/08/0344-6782_2021-06-21T08-15-51Z.jpg,490,CONFIG002,1,0,0.9139392971992493,daisy,97,101,1235,1046,1332,1147
2,0344-6782/2021-06-21/08/0344-6782_2021-06-21T08-15-51Z.jpg,490,CONFIG002,2,0,0.9123879671096802,daisy,93,98,667,796,760,894
2,0344-6782/2021-06-21/08/0344-6782_2021-06-21T08-15-51Z.jpg,490,CONFIG002,3,0,0.9103153347969055,daisy,95,86,1134,535,1229,621
2,0344-6782/2021-06-21/08/0344-6782_2021-06-21T08-15-51Z.jpg,490,CONFIG002,4,0,0.9069498181343079,daisy,82,78,793,602,875,680
2,0344-6782/2021-06-21/08/0344-6782_2021-06-21T08-15-51Z.jpg,490,CONFIG002,5,0,0.9067599177360535,daisy,96,100,841,675,937,775
2,0344-6782/2021-06-21/08/0344-6782_2021-06-21T08-15-51Z.jpg,490,CONFIG002,6,0,0.9056529402732849,daisy,100,100,1379,963,1479,1063
2,0344-6782/2021-06-21/08/0344-6782_2021-06-21T08-15-51Z.jpg,490,CONFIG002,7,0,0.902245283126831,daisy,86,76,1312,363,1398,439
2,0344-6782/2021-06-21/08/0344-6782_2021-06-21T08-15-51Z.jpg,490,CONFIG002,8,0,0.9007219672203064,daisy,88,81,1187,340,1275,421
2,0344-6782/2021-06-21/08/0344-6782_2021-06-21T08-15-51Z.jpg,490,CONFIG002,9,0,0.8989468812942505,daisy,87,102,961,959,1048,1061
2,0344-6782/2021-06-21/08/0344-6782_2021-06-21T08-15-51Z.jpg,490,CONFIG002,10,0,0.8984769582748413,daisy,89,83,1404,645,1493,728
2,0344-6782/2021-06-21/08/0344-6782_2021-06-21T08-15-51Z.jpg,490,CONFIG002,11,0,0.8947130441665649,daisy,81,83,1219,249,1300,332
2,0344-6782/2021-06-21/08/0344-6782_2021-06-21T08-15-51Z.jpg,490,CONFIG002,12,0,0.8937216401100159,daisy,80,79,854,889,934,968
